timestamp,close
2020-01-24,61.2720
2019-01-08,47.1530
2019-01-07,46.9710
2019-01-04,46.6410
2019-01-03,45.6850
2019-01-02,46.3230
2018-12-28,45.9790
2018-12-27,45.0090
2018-12-21,45.6820
2018-12-20,45.8170
2018-12-19,47.0860
2018-12-18,47.1760
2018-12-17,47.7360
2018-12-14,48.3900
2018-12-13,48.6650
2018-12-12,48.9290
2018-12-11,48.5090
2018-12-10,47.5880
2018-12-07,48.5050
2018-12-06,48.2050
2018-12-05,49.6280
2018-12-04,50.4900
2018-11-30,50.1960
2018-11-29,49.9610
2018-11-28,49.7060
2018-11-27,49.4340
2018-11-26,49.1230
2018-11-23,48.8010
2018-11-22,48.3230
2018-11-21,48.9260
2018-11-20,48.5270
2018-11-19,49.1650
2018-11-16,49.7040
2018-11-15,49.6860
2018-11-14,49.9010
2018-11-12,50.4520
2018-11-09,50.8040
2018-11-08,50.9880
2018-11-07,50.5920
2018-11-06,50.0260
2018-11-05,49.8670
2018-11-02,49.8060
2018-11-01,49.8860
2018-10-31,49.8860
2018-10-30,48.7780
2018-10-29,48.9100
2018-10-26,48.6190
2018-10-25,49.2840
2018-10-24,49.1910
2018-10-23,49.0530
2018-10-22,50.0460
2018-10-19,50.2620
2018-10-18,50.1060
2018-10-17,50.3740
2018-10-16,50.1960
2018-10-15,49.7410
2018-10-12,49.6520
2018-10-11,49.5460
2018-10-10,51.0860
2018-10-09,52.1080
2018-10-08,51.9640
2018-10-05,52.1380
2018-10-04,52.4560
2018-10-02,52.7520
2018-10-01,52.9380
2018-09-28,52.5100
2018-09-27,52.4600
2018-09-26,52.1860
2018-09-25,52.0920
2018-09-24,51.9040
2018-09-13,51.5980
2018-09-12,51.6260
2018-09-11,51.5640
2018-09-10,51.5300
2018-09-07,51.5380
2018-09-06,51.3240
2018-09-05,51.4720
2018-09-04,52.0780
2018-09-03,52.1940
2018-08-31,52.1340
2018-08-30,52.1980
2018-08-29,52.1820
2018-08-28,51.8980
2018-08-27,52.0280
2018-08-24,51.7880
2018-08-23,51.6680
2018-08-22,51.8320
2018-08-20,53.1540
2018-08-17,52.9940
2018-08-16,53.1120
2018-08-15,52.8460
2018-08-14,53.2700
2018-08-13,53.0240
2018-08-10,53.1640
2018-08-09,53.0600
2018-08-08,52.8680
2018-08-07,52.9500
2018-08-06,52.7860
2018-08-03,52.5520
2018-08-02,52.2480
2018-08-01,52.1700
